TimeStamp,Sdur,Sg_accum_der,Sdur_accum_der,CNR4T,Sd,Sb,Sg,G,Ldw,Ldw(uc),Luw,Luw(uc),Rn,Sb(csd3),Sdw,Suw
timestamp,sec,MJ/m2,h,degC,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2,W/m^2
2020-05-05 09:05:00,300.0,4.43,1.65,15.75,257.0,355.5,497.2,5.01,300.76,-94.22,377.36,-17.62,331.65,515.8,498.11,109.77
2020-05-05 09:10:00,300.0,4.59,1.74,14.92,283.5,393.1,549.1,5.6,300.47,-89.99,373.92,-16.54,341.69,560.4,540.5,119.58
2020-05-05 09:15:00,300.0,4.75,1.82,14.44,300.4,358.6,547.1,6.18,300.39,-87.49,371.22,-16.66,372.17,524.2,544.05,122.14
2020-05-05 09:20:00,300.0,4.91,1.9,14.47,315.4,299.0,525.9,6.79,299.91,-88.14,371.43,-16.62,334.77,459.2,521.75,115.9
2020-05-05 09:25:00,300.0,5.08,1.99,14.45,327.1,391.6,609.1,7.31,300.62,-87.28,372.23,-15.67,410.63,561.0,605.04,135.89
2020-05-05 09:30:00,300.0,5.26,2.07,14.55,340.2,315.2,568.3,7.8,300.64,-87.84,372.67,-15.81,392.12,474.6,580.59,129.14
2020-05-05 09:35:00,300.0,5.45,2.15,14.65,340.5,401.5,634.1,8.29,300.0,-88.98,371.78,-17.2,422.56,580.9,629.4,140.35
2020-05-05 09:40:00,300.0,5.63,2.24,14.66,341.4,314.9,574.5,8.66,299.62,-89.44,373.09,-15.97,395.32,492.9,571.33,125.64
2020-05-05 09:45:00,300.0,5.82,2.32,14.99,337.5,401.4,636.9,9.09,299.43,-91.44,373.02,-17.85,445.24,579.5,631.85,139.58
2020-05-05 09:50:00,300.0,6.03,2.4,14.98,325.8,428.3,649.3,9.42,298.88,-91.9,374.07,-16.71,485.43,589.0,647.53,142.98
2020-05-05 09:55:00,300.0,6.23,2.49,15.05,311.6,634.0,797.9,9.81,298.84,-92.34,374.6,-16.58,564.96,790.4,785.63,175.81
2020-05-05 10:00:00,300.0,6.47,2.57,15.43,300.9,591.6,757.6,10.22,297.94,-95.32,375.98,-17.28,541.64,724.3,756.31,167.23
2020-05-05 10:05:00,300.0,6.7,2.66,15.63,298.6,671.8,819.3,10.64,299.11,-95.2,377.22,-17.09,598.6,796.6,814.53,180.86
2020-05-05 10:10:00,300.0,6.95,2.74,16.19,299.0,569.6,745.1,11.1,298.91,-98.46,378.91,-18.46,523.78,695.8,742.72,163.18
2020-05-05 10:15:00,300.0,7.17,2.82,15.96,301.9,561.1,743.7,11.6,299.4,-96.73,377.77,-18.36,528.59,672.9,740.24,162.26
2020-05-05 10:20:00,300.0,7.38,2.91,15.69,302.3,551.0,738.4,12.18,298.22,-96.44,376.82,-17.84,495.2,652.3,725.46,157.81
2020-05-05 10:25:00,300.0,7.63,2.99,16.01,292.7,646.9,812.5,12.8,298.82,-97.58,378.9,-17.5,592.22,731.9,805.81,175.48
2020-05-05 10:30:00,300.0,7.86,3.07,16.1,278.4,694.0,838.3,13.4,297.76,-99.15,379.97,-16.94,598.32,751.5,825.75,179.74
2020-05-05 10:35:00,300.0,8.12,3.16,16.4,261.9,735.6,858.9,14.06,297.99,-100.54,380.63,-17.9,633.8,770.0,846.74,183.46
2020-05-05 10:40:00,300.0,8.37,3.24,16.47,253.3,747.9,862.9,14.69,299.05,-99.86,381.04,-17.87,637.58,774.0,855.12,185.62
2020-05-05 10:45:00,300.0,8.63,3.32,16.69,246.3,754.0,862.2,15.3,299.42,-100.75,381.41,-18.76,655.67,783.8,854.07,183.24
2020-05-05 10:50:00,300.0,8.89,3.41,16.92,245.5,738.8,855.6,16.0,298.78,-102.63,382.9,-18.51,622.53,782.2,850.51,182.9
2020-05-05 10:55:00,300.0,9.14,3.49,17.06,246.7,728.1,847.6,16.71,298.66,-103.54,382.72,-19.48,609.54,771.4,837.5,178.06
2020-05-05 11:00:00,300.0,9.4,3.57,16.98,255.4,758.2,883.8,17.5,298.73,-103.0,383.78,-17.95,649.97,793.0,874.5,186.42
2020-05-05 11:05:00,300.0,9.67,3.66,16.85,262.7,744.8,882.6,18.35,299.35,-101.67,383.27,-17.75,622.59,762.8,873.96,185.72
2020-05-05 11:10:00,300.0,9.93,3.74,16.79,264.1,756.8,897.8,19.2,298.37,-102.34,384.8,-15.91,650.9,766.4,888.18,189.25
2020-05-05 11:15:00,300.0,10.2,3.82,16.94,271.5,742.1,894.7,20.0,297.19,-104.34,384.42,-17.11,648.35,754.0,891.1,190.02
2020-05-05 11:20:00,300.0,10.45,3.91,16.69,276.8,543.0,731.0,20.8,295.15,-105.02,383.12,-17.05,531.89,553.0,735.58,153.53
2020-05-05 11:25:00,300.0,10.66,3.99,16.4,269.7,497.1,686.4,21.56,295.71,-102.84,380.19,-18.36,498.58,494.4,689.44,143.54
2020-05-05 11:30:00,300.0,10.86,4.07,16.21,253.2,558.6,725.8,22.3,295.03,-102.49,379.43,-18.09,493.06,540.5,721.26,150.8
2020-05-05 11:35:00,300.0,11.11,4.16,16.7,231.1,816.2,927.2,22.99,295.74,-104.48,381.65,-18.57,679.7,772.0,916.79,194.98
2020-05-05 11:40:00,300.0,11.37,4.24,16.61,208.4,737.4,833.6,23.6,294.94,-104.78,380.82,-18.9,600.98,776.6,826.24,172.28
2020-05-05 11:45:00,300.0,11.62,4.32,16.7,188.4,812.3,876.4,24.16,295.21,-104.98,381.22,-18.97,612.24,862.7,869.04,181.87
2020-05-05 11:50:00,300.0,11.89,4.41,17.11,164.2,822.1,865.9,24.7,295.09,-107.36,385.23,-17.22,622.57,874.5,860.25,179.13
2020-05-05 11:55:00,300.0,12.16,4.49,17.72,144.2,890.1,903.2,25.26,294.59,-111.26,387.65,-18.2,637.6,931.3,897.27,186.46
2020-05-05 12:00:00,300.0,12.43,4.57,17.37,131.5,906.5,900.7,25.89,293.04,-110.88,385.77,-18.15,666.08,937.2,894.65,184.6
2020-05-05 12:05:00,300.0,12.7,4.66,17.4,119.9,929.0,909.2,26.54,293.2,-110.88,387.24,-16.84,661.0,954.0,905.5,188.04
2020-05-05 12:10:00,300.0,12.98,4.74,17.12,110.8,932.7,902.1,27.21,291.41,-111.13,385.8,-16.74,665.01,953.8,896.08,184.05
2020-05-05 12:15:00,300.0,13.25,4.82,17.31,102.5,933.4,897.1,27.9,291.72,-111.86,385.2,-18.38,638.1,956.8,892.22,184.18
2020-05-05 12:20:00,300.0,13.52,4.9,17.59,101.0,929.6,889.8,28.58,293.79,-111.32,387.03,-18.08,667.78,951.0,885.98,182.84
2020-05-05 12:25:00,300.0,13.78,4.99,17.88,92.4,946.3,892.5,29.2,291.14,-115.63,388.45,-18.32,678.78,959.0,887.57,182.14
2020-05-05 12:30:00,300.0,14.05,5.07,17.44,95.5,938.4,882.0,29.81,292.48,-111.84,385.62,-18.7,617.8,948.2,877.71,178.5
2020-05-05 12:35:00,300.0,14.32,5.15,16.76,94.1,945.7,884.3,30.5,290.74,-109.78,381.26,-19.26,695.75,952.0,880.13,180.78
2020-05-05 12:40:00,300.0,14.58,5.24,17.25,95.8,926.3,876.5,31.11,293.3,-109.96,385.11,-18.15,641.43,946.6,871.84,180.14
2020-05-05 12:45:00,300.0,14.84,5.32,17.5,97.6,926.8,871.7,31.74,294.48,-110.16,385.43,-19.21,631.96,947.0,868.81,179.09
2020-05-05 12:50:00,300.0,15.1,5.4,17.47,97.2,928.8,871.5,32.3,292.92,-111.54,386.17,-18.29,603.72,952.8,867.4,179.55
2020-05-05 12:55:00,300.0,15.36,5.49,17.54,97.6,927.0,867.2,32.8,294.27,-110.58,386.09,-18.76,647.99,953.4,862.74,177.44
2020-05-05 13:00:00,300.0,15.62,5.57,17.67,101.2,919.1,861.2,33.3,295.5,-110.1,386.81,-18.79,611.21,951.9,856.94,175.82
